x, 4, 0.002902
y, 4, 0.014538
x, 4, 0.002648
y, 4, 0.013801
x, 8, 0.002495
y, 8, 0.013540
x, 8, 0.002531
y, 8, 0.013811
x, 16, 0.002452
y, 16, 0.013349
x, 4, 0.003006
y, 4, 0.014787
x, 4, 0.002871
y, 4, 0.014004
x, 8, 0.002839
y, 8, 0.014063
x, 8, 0.002691
y, 8, 0.013635
x, 16, 0.002561
y, 16, 0.013534
x, 16, 0.002862
y, 16, 0.014586
x, 32, 0.002525
y, 32, 0.013928
x, 64, 0.002394
y, 64, 0.013591
x, 128, 0.002476
y, 128, 0.013925
x, 256, 0.002124
y, 256, 0.013219
x, 16, 0.003008
y, 16, 0.014740
x, 32, 0.002371
y, 32, 0.013798
x, 64, 0.002173
y, 64, 0.013334
x, 128, 0.002200
y, 128, 0.013392
x, 256, 0.002445
y, 256, 0.013625
x, 16, 0.002912
y, 16, 0.014623
x, 32, 0.002642
y, 32, 0.013779
x, 64, 0.002386
y, 64, 0.013712
x, 128, 0.002322
y, 128, 0.013446
x, 256, 0.002278
y, 256, 0.013371
x, 16, 0.002861
y, 16, 0.014552
x, 32, 0.002785
y, 32, 0.014036
x, 64, 0.002613
y, 64, 0.013439
x, 128, 0.002420
y, 128, 0.013911
x, 256, 0.002096
y, 256, 0.013176
x, 16, 0.002672
y, 16, 0.015127
x, 32, 0.002533
y, 32, 0.013943
x, 64, 0.002331
y, 64, 0.013470
x, 128, 0.002099
y, 128, 0.013101
x, 256, 0.002518
y, 256, 0.013446
x, 16, 0.002503
y, 16, 0.014463
x, 32, 0.002197
y, 32, 0.013787
x, 64, 0.002301
y, 64, 0.013739
x, 128, 0.002319
y, 128, 0.013347
x, 256, 0.002119
y, 256, 0.013244
x, 16, 0.002659
y, 16, 0.014116
x, 32, 0.002508
y, 32, 0.013841
x, 64, 0.002384
y, 64, 0.013601
x, 128, 0.002024
y, 128, 0.013129
x, 256, 0.002272
y, 256, 0.013600
x, 16, 0.002741
y, 16, 0.014655
x, 32, 0.002675
y, 32, 0.013908
x, 64, 0.002462
y, 64, 0.013409
x, 128, 0.002360
y, 128, 0.013215
x, 256, 0.002228
y, 256, 0.013020
x, 16, 0.003052
y, 16, 0.014931
x, 32, 0.002472
y, 32, 0.013889
x, 64, 0.002070
y, 64, 0.013450
x, 128, 0.002224
y, 128, 0.013358
x, 256, 0.001995
y, 256, 0.013308
x, 16, 0.002993
y, 16, 0.014528
x, 32, 0.002483
y, 32, 0.013745
x, 64, 0.002357
y, 64, 0.013239
x, 128, 0.002363
y, 128, 0.013592
x, 256, 0.002343
y, 256, 0.013869
x, 16, 0.002853
y, 16, 0.014730
x, 32, 0.002632
y, 32, 0.013939
x, 64, 0.002444
y, 64, 0.013470
x, 128, 0.002453
y, 128, 0.013378
x, 256, 0.002080
y, 256, 0.012958
x, 16, 0.002791
y, 16, 0.014729
x, 32, 0.002193
y, 32, 0.013791
x, 64, 0.002060
y, 64, 0.013284
x, 128, 0.002181
y, 128, 0.013470
x, 256, 0.002412
y, 256, 0.013383
x, 16, 0.002840
y, 16, 0.014852
x, 32, 0.002454
y, 32, 0.013755
x, 64, 0.002319
y, 64, 0.013722
x, 128, 0.002097
y, 128, 0.013641
x, 256, 0.002240
y, 256, 0.013283
x, 16, 0.002736
y, 16, 0.014318
x, 32, 0.002362
y, 32, 0.013587
x, 64, 0.002288
y, 64, 0.013621
x, 128, 0.002233
y, 128, 0.013620
x, 256, 0.002281
y, 256, 0.013549
x, 16, 0.002870
y, 16, 0.014486
x, 32, 0.002658
y, 32, 0.013731
x, 64, 0.002358
y, 64, 0.013247
x, 128, 0.002192
y, 128, 0.013537
x, 256, 0.002251
y, 256, 0.013414
